link,name,value,var,datetime,max,min
https://cincodias.elpais.com/mercados/empresas/prosegur/,Prosegur,"2,6200","-0,56%",2025-12-02 18:57:05,"2,6300","2,5750"
https://cincodias.elpais.com/mercados/empresas/prosegur-cash/,Prosegur Cash,"0,6440","-0,61%",2025-12-02 18:57:05,"0,6530","0,6410"
https://cincodias.elpais.com/mercados/empresas/puig-brands/,Puig Brands,"14,490","-1,29%",2025-12-02 18:57:05,"14,710","14,460"
https://cincodias.elpais.com/mercados/empresas/renta-4/,RENTA 4 BANCO,"19,100","+1,05%",2025-12-02 18:57:05,"19,200","18,900"
https://cincodias.elpais.com/mercados/empresas/realia-business/,Realia Busin,"0,9920","0,00%",2025-12-02 18:57:05,"1,0000","0,9920"
https://cincodias.elpais.com/mercados/empresas/redeia-corp/,Redeia Corp,"15,290","+0,06%",2025-12-02 18:57:05,"15,400","15,290"
https://cincodias.elpais.com/mercados/empresas/renta-corporacion/,Renta Corporacion,"0,6998","+0,25%",2025-12-02 18:57:05,"0,6998","0,6764"
https://cincodias.elpais.com/mercados/empresas/repsol/,Repsol,"16,230","+0,12%",2025-12-02 18:57:05,"16,340","16,190"
https://cincodias.elpais.com/mercados/empresas/sacyr/,Sacyr,"3,8120","-0,31%",2025-12-02 18:57:05,"3,8640","3,8060"
https://cincodias.elpais.com/mercados/empresas/solaria-energia/,Solaria Ener,"16,810","+2,87%",2025-12-02 18:57:05,"17,035","16,155"
https://cincodias.elpais.com/mercados/empresas/soltec/,Soltec Pow Hold,"1,5980","0,00%",2025-12-02 18:57:05,"1,5980","1,5980"
https://cincodias.elpais.com/mercados/empresas/squirrel-media/,Squirrel Media,"2,5000","0,00%",2025-12-02 18:57:05,"2,5200","2,4600"
https://cincodias.elpais.com/mercados/empresas/talgo/,Talgo,"2,8050","+0,17%",2025-12-02 18:57:05,"2,8100","2,7800"
https://cincodias.elpais.com/mercados/empresas/tecnicas-reunidas/,Tecnicas Reunidas,"28,560","+0,21%",2025-12-02 18:57:05,"29,080","28,340"
https://cincodias.elpais.com/mercados/empresas/telefonica/,Telefonica,"3,6320","-0,98%",2025-12-02 18:57:05,"3,6890","3,6320"
https://cincodias.elpais.com/mercados/empresas/tubacex/,Tubacex,"3,4250","-0,72%",2025-12-02 18:57:05,"3,4600","3,4250"
https://cincodias.elpais.com/mercados/empresas/tubos-reunidos/,Tubos Reunidos,"0,3880","+1,30%",2025-12-02 18:57:05,"0,3940","0,3770"
https://cincodias.elpais.com/mercados/empresas/unicaja-banco/,Unicaja Banco,"2,5920","+1,96%",2025-12-02 18:57:05,"2,6020","2,5460"
https://cincodias.elpais.com/mercados/empresas/urbas/,Urbas Grupo Fin,"0,0022","0,00%",2025-12-02 18:57:05,"0,0022","0,0022"
https://cincodias.elpais.com/mercados/empresas/vidrala/,Vidrala,"82,400","-1,19%",2025-12-02 18:57:05,"83,400","82,000"
https://cincodias.elpais.com/mercados/empresas/viscofan/,Viscofan,"53,000","-0,74%",2025-12-02 18:57:05,"53,500","52,900"
https://cincodias.elpais.com/mercados/empresas/vocento/,Vocento,"0,6360","+0,31%",2025-12-02 18:57:05,"0,6600","0,6300"
https://cincodias.elpais.com/mercados/empresas/edreams-odigeo/,eDreams ODIGEO,"3,8150","+6,71%",2025-12-02 18:57:05,"3,8600","3,5650"
